Gatunek;KOL;APZ;APW;D1;D2;PS;R;SC;PL;PYL;K-J;PYLZN;PYLPL;ZN;SZY;NB;KAT;V;KON;MASA;POW;NAS;WYS;SZER;SZEW
F. acmopetala;1;9;4;40,95;42,18;27,58;0,813809383;30,71;33,89;28,63;-5,26;1,71;8,36;23,81;10,84;1;45;35;16,5;0,003784;14;4;10,5;3,5;2
F. acmopetala;1;17;2;44,74;39,21;26,61;0,785187371;32,68;33,89;29,49;-4,4;1,62;8,31;;;;;24;35,25;0,003021;15;5;6,5;3,5;1,8
F. acmopetala;1;9;0;44,93;44,77;28,71;0,916666667;46,9;31,32;28,61;-2,71;1,7;7,64;;;;;;;;25,8;5;8;3;1,2
F. acmopetala;1;9;;40,39;40,62;24,05;0,742513121;48,83;32,39;27,85;-4,54;1,7;7,64;;;;;;;;31,4;2,5;9;3;1,3
F. acmopetala;1;9;;42,61;42,85;26,79;0,75;56,6;35,72;27,85;-7,87;1,92;9,38;;;;;40;21;0,003113;19,1;4;8,5;3;1,5
F. acmopetala;1;2;;49,04;46;28,99;0,832328452;23,39;34,83;27,85;-6,98;1,92;11,56;;;;;34;35,25;0,003423;15;4;9,5;3;1,2
F. acmopetala;1;3;;32,93;30,53;24,69;0,759225092;28,41;32,52;17,7;-14,82;2,15;10,39;20,86;11,21;2;60;33,5;42;0,003692;16;5;8;3,5;1,2
F. acmopetala;1;17;;35,93;37,77;28,91;0,88899139;36,92;32,52;16,27;-16,25;2,15;6,64;;;;;;;;19,2;5;7;4;1,2
F. acmopetala;1;12;;47,36;47,34;30,46;0,835436094;25,48;36,46;17,61;-18,85;1,66;6,67;;;;;36;49;0,03944;21,7;5;11;3,4;1,3
F. acmopetala;1;;;48,37;47,61;32,55;0,962732919;49,65;33,81;18,23;-15,58;2,66;8,64;;;;;37;46;0,04109;19,8;3;9;4;1,6
F. acmopetala;1;;;40,07;37,96;28,48;0,842354333;47,54;33,81;17;-16,81;2,08;9,45;;;;;19,5;41,5;0,01893;29,1;3;9,8;4;1,4
F. acmopetala;1;;;35,82;37,68;27,05;0,800059154;31,77;33,81;17;-16,81;2,08;10,55;;;;;;;;33;6;6,5;3;1,2
F. acmopetala;1;;;44,73;45,56;29,63;0,761305242;46,59;38,92;21,49;-17,43;0,55;8,22;8,1;7,46;;70;60;47,25;0,006226;27,3;4;11;3,5;1,1
F. acmopetala;1;;;41;46;;0;49;38,75;21,49;-17,26;0,55;6,57;;;;;48;28,5;0,006065;19;4,2;9,8;4;1,4
F. acmopetala;1;;;40;45;;0;65;38,75;22,61;-16,14;1,66;9,34;;;;;46;58,5;0,005371;29,7;5;6;4;1,5
F. acmopetala;1;;;36;33;;0;37;39,18;22,61;-16,57;2,54;7,06;;;;;26;20;0,003088;23,8;4,5;11;3,5;1,5
F. acmopetala;1;;;45;43;;0;30;37,31;23,19;-14,12;0,39;0;;;;;25;21;0,02748;20,1;5;11,5;4;1,8
F. acmopetala;1;;;44;44;;0;;37,31;23,19;-14,12;0,33;0,12;;;;;;;;27,9;3,5;9,5;3,5;1,8
F. acmopetala;1;;;44;25;28;0,739762219;44;37,85;18,18;-19,67;1,02;6,89;21,8;11,92;;70;;;;36,1;3,5;9,5;4;1,7
F. acmopetala;1;;;31;26;27;0,746062448;20;36,19;18,18;-18,01;1,63;7,49;;;;;;;;19,9;5;9;3;1,7
F. acmopetala;1;;;48;31;26;0,718430506;31;36,19;17,48;-18,71;1,68;5,32;;;;;;;;26,5;3;9;3,5;1,4
F. acmopetala;1;;;;;;0;;35,78;17,48;-18,3;0,62;6,42;;;;;10,6;9,25;0,00496;14,4;4,5;8;4;1,4
F. acmopetala;1;;;;;;0;;38,38;17,59;-20,79;1,08;7,14;;;;;;57,25;;29,1;5;9;4;1,7
F. acmopetala;1;;;;;;0;;38,38;17,59;-20,79;1,08;7,14;;;;;35;51,25;0,004462;23,9;3;10;3,5;1,4
F. acmopetala;1;;;;;;0;;37,46;19,17;-18,29;1,6;9,91;26,54;14,19;;45;18,5;62;0,02229;17,4;4,8;9,5;4;1,2
F. acmopetala;1;;;;;;0;;36,5;19,86;-16,64;1,64;8,61;;;;;19;65,75;0,02213;19,4;4;10,5;3,4;1,2
F. acmopetala;1;;;;;;0;;36,5;18,44;-18,06;0,92;10,47;;;;;20;62;0,03303;24,4;4;8;3,4;1,1
F. acmopetala;1;;;;;;0;;37,38;19,61;-17,77;1,83;8,71;;;;;;42,25;0,006096;16,9;4,5;10;3,5;1,8
F. acmopetala;1;;;;;;0;;38,64;19,63;-19,01;0,39;9,3;;;;;;32,5;;29,7;4,5;11;3,5;1,8
F. acmopetala;1;;;;;;0;;38,23;19,63;-18,6;1,74;9,01;;;;;12,5;26,25;0,01568;29,2;4;10,1;4;1,9
F. acmopetala;1;;;;;;0;;40,56;19,69;-20,87;1,64;6,65;22,15;11,49;;;43;23;0,03458;26,7;4;11;4;1,7
F. acmopetala;1;;;;;;0;;39,52;19,62;-19,9;1,14;6,55;;;;;;;;19,9;4;9;3,5;1,8
